16-10-2019 15:09:07 INFO  OpenNLPPosTagger:149 - Power-on self test complete.
16-10-2019 15:09:07 INFO  Prosody:121 - Module started (PHONEMES->INTONATION, locale it).
16-10-2019 15:09:07 INFO  Prosody:134 - Starting power-on self test.
16-10-2019 15:09:07 INFO  Prosody:149 - Power-on self test complete.
16-10-2019 15:09:07 INFO  PronunciationModel:121 - Module started (INTONATION->ALLOPHONES, locale it).
16-10-2019 15:09:07 INFO  PronunciationModel:134 - Starting power-on self test.
16-10-2019 15:09:07 INFO  PronunciationModel:149 - Power-on self test complete.
16-10-2019 15:09:07 INFO  main:299 - Startup complete.
16-10-2019 15:09:07 INFO  R 1:148 - New request (input type "TEXT", output type "AUDIO", voice "cmu-rms-hsmm", audio "WAVE")
16-10-2019 15:09:07 INFO  R 1:527 - Handling request using the following modules:
16-10-2019 15:09:07 INFO  R 1:529 - - TextToMaryXML (marytts.modules.TextToMaryXML)
16-10-2019 15:09:07 INFO  R 1:563 - Next module: TextToMaryXML
16-10-2019 15:09:07 INFO  R 1:527 - Handling request using the following modules:
16-10-2019 15:09:07 INFO  R 1:529 - - JTokeniser (marytts.language.en.JTokeniser)
16-10-2019 15:09:07 INFO  R 1:529 - - Preprocess (marytts.language.en.Preprocess)
16-10-2019 15:09:07 INFO  R 1:529 - - OpenNLPPosTagger (marytts.modules.OpenNLPPosTagger)
16-10-2019 15:09:07 INFO  R 1:529 - - JPhonemiser (marytts.modules.JPhonemiser)
16-10-2019 15:09:07 INFO  R 1:529 - - Prosody (marytts.language.en.Prosody)
16-10-2019 15:09:07 INFO  R 1:529 - - PronunciationModel (marytts.language.en.PronunciationModel)
16-10-2019 15:09:07 INFO  R 1:529 - - AcousticModeller (marytts.modules.AcousticModeller)
16-10-2019 15:09:07 INFO  R 1:529 - - Synthesis (marytts.modules.Synthesis)
16-10-2019 15:09:07 INFO  R 1:563 - Next module: JTokeniser
16-10-2019 15:09:07 INFO  R 1:563 - Next module: Preprocess
16-10-2019 15:09:07 INFO  R 1:563 - Next module: OpenNLPPosTagger
16-10-2019 15:09:07 INFO  R 1:563 - Next module: JPhonemiser
16-10-2019 15:09:07 ERROR JPhonemiser:272 - Problem with token <°> []: Cannot syllabify empty phone string
16-10-2019 15:09:07 INFO  R 1:563 - Next module: Prosody
16-10-2019 15:09:07 INFO  R 1:563 - Next module: PronunciationModel
16-10-2019 15:09:07 INFO  R 1:563 - Next module: AcousticModeller
16-10-2019 15:09:07 INFO  ParameterGeneration:319 - Parameter generation for LF0: 
16-10-2019 15:09:07 INFO  PStream:273 - Global variance optimization
16-10-2019 15:09:07 INFO  PStream:543 - Gradient GV optimization for feature: (0)  number of iterations=51
16-10-2019 15:09:07 INFO  R 1:563 - Next module: Synthesis
16-10-2019 15:09:07 INFO  HMMSynthesizer:233 - Synthesizing one sentence.
16-10-2019 15:09:07 INFO  HTSEngine:427 - Using prosody from acoustparams.
